"combined_bucket","amount_percentile_bin","score_percentile_bin","min_amount","max_amount","min_score","max_score","total_transactions","fraud_transactions","fraud_percentage"
34,1,34,0.01000,1.90000,"159","165",3869,3,0.08
35,1,35,0.01000,1.90000,"165","171",3927,2,0.05
36,1,36,0.01000,1.90000,"171","176",3973,3,0.08
37,1,37,0.01000,1.90000,"176","182",3991,3,0.08
38,1,38,0.01000,1.90000,"182","188",3883,1,0.03
39,1,39,0.01000,1.90000,"188","194",4091,4,0.10
40,1,40,0.01000,1.90000,"194","200",4089,2,0.05
41,1,41,0.01000,1.90000,"200","206",4115,4,0.10
42,1,42,0.01000,1.90000,"206","212",4157,3,0.07
43,1,43,0.01000,1.90000,"212","217",4266,3,0.07
44,1,44,0.01000,1.90000,"217","223",4107,3,0.07
45,1,45,0.01000,1.90000,"223","230",4256,5,0.12
46,1,46,0.01000,1.90000,"230","236",4280,7,0.16
47,1,47,0.01000,1.90000,"236","242",4310,2,0.05
48,1,48,0.01000,1.90000,"242","249",4289,0,0.00
49,1,49,0.01000,1.90000,"249","255",4224,5,0.12
50,1,50,0.01000,1.90000,"255","261",4212,2,0.05
51,1,51,0.01000,1.90000,"261","267",4215,5,0.12
52,1,52,0.01000,1.90000,"267","273",4344,6,0.14
53,1,53,0.01000,1.90000,"274","280",4344,8,0.18
54,1,54,0.01000,1.90000,"280","287",4383,2,0.05
55,1,55,0.01000,1.90000,"287","294",4396,5,0.11
56,1,56,0.01000,1.90000,"294","301",4430,5,0.11
57,1,57,0.01000,1.90000,"301","307",4423,7,0.16
58,1,58,0.01000,1.90000,"307","314",4373,2,0.05
59,1,59,0.01000,1.90000,"314","321",4406,9,0.20
60,1,60,0.01000,1.90000,"321","328",4322,8,0.19
61,1,61,0.01000,1.90000,"328","336",4510,6,0.13
62,1,62,0.01000,1.90000,"336","343",4573,10,0.22
63,1,63,0.01000,1.90000,"344","351",4431,5,0.11
64,1,64,0.01000,1.90000,"351","358",4342,1,0.02
65,1,65,0.01000,1.90000,"358","366",4289,5,0.12
66,1,66,0.01000,1.90000,"366","374",4368,9,0.21
67,1,67,0.01000,1.90000,"374","382",4220,6,0.14
68,1,68,0.01000,1.90000,"382","390",4476,9,0.20
69,1,69,0.01000,1.90000,"390","399",4437,2,0.05
70,1,70,0.01000,1.90000,"400","408",4250,7,0.16
71,1,71,0.01000,1.90000,"408","417",4595,12,0.26
72,1,72,0.01000,1.90000,"418","427",4434,7,0.16
73,1,73,0.01000,1.90000,"427","437",4365,7,0.16
74,1,74,0.01000,1.90000,"438","448",4227,7,0.17
75,1,75,0.01000,1.90000,"448","459",4399,2,0.05
76,1,76,0.01000,1.90000,"459","469",4094,7,0.17
77,1,77,0.01000,1.90000,"470","481",4310,9,0.21
78,1,78,0.01000,1.90000,"482","493",3921,14,0.36
79,1,79,0.01000,1.90000,"494","507",4459,7,0.16
80,1,80,0.01000,1.90000,"507","521",3959,9,0.23
81,1,81,0.01000,1.90000,"522","537",3892,4,0.10
82,1,82,0.01000,1.90000,"537","551",3960,12,0.30
83,1,83,0.01000,1.90000,"552","563",3931,14,0.36
84,1,84,0.01000,1.90000,"564","576",3605,5,0.14
85,1,85,0.01000,1.90000,"576","589",3915,9,0.23
86,1,86,0.01000,1.90000,"590","604",3529,8,0.23
87,1,87,0.01000,1.90000,"604","619",3937,13,0.33
88,1,88,0.01000,1.90000,"619","635",3607,14,0.39
89,1,89,0.01000,1.90000,"635","651",3603,16,0.44
90,1,90,0.01000,1.90000,"652","664",3513,11,0.31
91,1,91,0.01000,1.90000,"664","679",3522,9,0.26
92,1,92,0.01000,1.90000,"680","695",3260,9,0.28
93,1,93,0.01000,1.90000,"696","713",3395,13,0.38
94,1,94,0.01000,1.90000,"714","733",3263,11,0.34
95,1,95,0.01000,1.90000,"734","753",3192,19,0.60
96,1,96,0.01000,1.90000,"754","769",3005,20,0.67
97,1,97,0.01000,1.90000,"770","789",3104,15,0.48
98,1,98,0.01000,1.90000,"790","811",3018,20,0.66
99,1,99,0.01000,1.90000,"811","838",3021,23,0.76
100,1,100,0.01000,1.90000,"838","998",3802,28,0.74
101,2,1,1.90000,3.29000,"003","019",5867,1,0.02
102,2,2,1.90000,3.29000,"019","026",5461,2,0.04
103,2,3,1.90000,3.29000,"026","032",4630,2,0.04
104,2,4,1.90000,3.29000,"032","037",4590,1,0.02
105,2,5,1.90000,3.29000,"037","041",4642,2,0.04
106,2,6,1.90000,3.29000,"041","045",4233,4,0.09
107,2,7,1.90000,3.29000,"045","048",4183,3,0.07
108,2,8,1.90000,3.29000,"048","051",3978,4,0.10
109,2,9,1.90000,3.29000,"051","055",3854,0,0.00
110,2,10,1.90000,3.29000,"055","059",3872,0,0.00
111,2,11,1.90000,3.29000,"059","063",3734,0,0.00
112,2,12,1.90000,3.29000,"063","066",3792,3,0.08
113,2,13,1.90000,3.29000,"066","070",3789,2,0.05
114,2,14,1.90000,3.29000,"070","073",3645,2,0.05
115,2,15,1.90000,3.29000,"073","076",3623,3,0.08
116,2,16,1.90000,3.29000,"076","079",3690,2,0.05
117,2,17,1.90000,3.29000,"079","083",3716,3,0.08
118,2,18,1.90000,3.29000,"083","086",3882,2,0.05
119,2,19,1.90000,3.29000,"086","089",3855,5,0.13
120,2,20,1.90000,3.29000,"089","092",3857,1,0.03
121,2,21,1.90000,3.29000,"092","096",3915,1,0.03
122,2,22,1.90000,3.29000,"096","099",3972,3,0.08
123,2,23,1.90000,3.29000,"099","104",4041,1,0.02
124,2,24,1.90000,3.29000,"104","109",3931,1,0.03
125,2,25,1.90000,3.29000,"109","114",4014,3,0.07
126,2,26,1.90000,3.29000,"114","120",3952,2,0.05
127,2,27,1.90000,3.29000,"120","126",4022,3,0.07
128,2,28,1.90000,3.29000,"126","131",4051,3,0.07
129,2,29,1.90000,3.29000,"131","137",4057,3,0.07
130,2,30,1.90000,3.29000,"137","143",3979,0,0.00
131,2,31,1.90000,3.29000,"143","148",4023,4,0.10
132,2,32,1.90000,3.29000,"148","154",4163,2,0.05
133,2,33,1.90000,3.29000,"154","159",4010,2,0.05
134,2,34,1.90000,3.29000,"159","165",4105,3,0.07
135,2,35,1.90000,3.29000,"165","171",3964,5,0.13
136,2,36,1.90000,3.29000,"171","176",4089,8,0.20
137,2,37,1.90000,3.29000,"176","182",4203,3,0.07
138,2,38,1.90000,3.29000,"182","188",4145,8,0.19
139,2,39,1.90000,3.29000,"188","194",4136,11,0.27
140,2,40,1.90000,3.29000,"194","200",4132,4,0.10
141,2,41,1.90000,3.29000,"200","206",4183,4,0.10
142,2,42,1.90000,3.29000,"206","212",4200,6,0.14
143,2,43,1.90000,3.29000,"212","217",4276,6,0.14
144,2,44,1.90000,3.29000,"217","223",4258,5,0.12
145,2,45,1.90000,3.29000,"223","230",4316,10,0.23
146,2,46,1.90000,3.29000,"230","236",4224,5,0.12
147,2,47,1.90000,3.29000,"236","242",4268,4,0.09
148,2,48,1.90000,3.29000,"242","249",4322,6,0.14
149,2,49,1.90000,3.29000,"249","255",4308,7,0.16
150,2,50,1.90000,3.29000,"255","261",4071,4,0.10
151,2,51,1.90000,3.29000,"261","267",4250,3,0.07
152,2,52,1.90000,3.29000,"267","273",4271,4,0.09
153,2,53,1.90000,3.29000,"274","280",4280,8,0.19
154,2,54,1.90000,3.29000,"280","287",4241,4,0.09
155,2,55,1.90000,3.29000,"287","294",4192,7,0.17
156,2,56,1.90000,3.29000,"294","301",4164,10,0.24
157,2,57,1.90000,3.29000,"301","307",4212,2,0.05
158,2,58,1.90000,3.29000,"307","314",4036,6,0.15
159,2,59,1.90000,3.29000,"314","321",4123,10,0.24
160,2,60,1.90000,3.29000,"321","328",4143,5,0.12
161,2,61,1.90000,3.29000,"328","336",4098,7,0.17
162,2,62,1.90000,3.29000,"336","343",4162,5,0.12
163,2,63,1.90000,3.29000,"344","351",3933,8,0.20
164,2,64,1.90000,3.29000,"351","358",4035,6,0.15
165,2,65,1.90000,3.29000,"358","366",3846,10,0.26
166,2,66,1.90000,3.29000,"366","374",3883,14,0.36
167,2,67,1.90000,3.29000,"374","382",3897,10,0.26
168,2,68,1.90000,3.29000,"382","390",3883,11,0.28
169,2,69,1.90000,3.29000,"390","399",3910,11,0.28
170,2,70,1.90000,3.29000,"400","408",3663,10,0.27
171,2,71,1.90000,3.29000,"408","417",3798,8,0.21
172,2,72,1.90000,3.29000,"418","427",3697,12,0.32
173,2,73,1.90000,3.29000,"427","437",3524,7,0.20
174,2,74,1.90000,3.29000,"438","448",3454,13,0.38
175,2,75,1.90000,3.29000,"448","459",3522,12,0.34
176,2,76,1.90000,3.29000,"459","469",3156,10,0.32
177,2,77,1.90000,3.29000,"470","481",3303,12,0.36
178,2,78,1.90000,3.29000,"482","493",3199,13,0.41
179,2,79,1.90000,3.29000,"494","507",3229,7,0.22
180,2,80,1.90000,3.29000,"507","521",3041,8,0.26
181,2,81,1.90000,3.29000,"522","537",2750,24,0.87
182,2,82,1.90000,3.29000,"537","551",2705,15,0.55
183,2,83,1.90000,3.29000,"552","563",2718,7,0.26
184,2,84,1.90000,3.29000,"564","576",2422,7,0.29
185,2,85,1.90000,3.29000,"576","589",2544,10,0.39
186,2,86,1.90000,3.29000,"590","604",2304,8,0.35
187,2,87,1.90000,3.29000,"604","619",2351,8,0.34
188,2,88,1.90000,3.29000,"619","635",2184,14,0.64
189,2,89,1.90000,3.29000,"635","651",2197,13,0.59
190,2,90,1.90000,3.29000,"652","664",1994,13,0.65
191,2,91,1.90000,3.29000,"664","679",2071,18,0.87
192,2,92,1.90000,3.29000,"680","695",1826,13,0.71
193,2,93,1.90000,3.29000,"696","713",1773,11,0.62
194,2,94,1.90000,3.29000,"714","733",1695,11,0.65
195,2,95,1.90000,3.29000,"734","753",1707,6,0.35
196,2,96,1.90000,3.29000,"754","769",1672,7,0.42
197,2,97,1.90000,3.29000,"770","789",1581,19,1.20
198,2,98,1.90000,3.29000,"790","811",1576,11,0.70
199,2,99,1.90000,3.29000,"811","838",1617,16,0.99
200,2,100,1.90000,3.29000,"838","998",1731,24,1.39
201,3,1,3.33000,4.86000,"003","019",2060,1,0.05
202,3,2,3.29000,4.86000,"019","026",2393,1,0.04
203,3,3,3.29000,4.86000,"026","032",2473,3,0.12
204,3,4,3.29000,4.86000,"032","037",2907,1,0.03
205,3,5,3.29000,4.86000,"037","041",3296,0,0.00
206,3,6,3.29000,4.86000,"041","045",3749,0,0.00
207,3,7,3.30000,4.86000,"045","048",3939,1,0.03
208,3,8,3.30000,4.86000,"048","051",4302,1,0.02
209,3,9,3.30000,4.86000,"051","055",4477,1,0.02
210,3,10,3.30000,4.86000,"055","059",4769,1,0.02
211,3,11,3.29000,4.86000,"059","063",4725,0,0.00
212,3,12,3.30000,4.86000,"063","066",4662,1,0.02
213,3,13,3.29000,4.86000,"066","070",4925,1,0.02
214,3,14,3.29000,4.86000,"070","073",4943,1,0.02
215,3,15,3.30000,4.86000,"073","076",4973,1,0.02
216,3,16,3.29000,4.86000,"076","079",5027,0,0.00
217,3,17,3.29000,4.86000,"079","083",5053,0,0.00
218,3,18,3.30000,4.86000,"083","086",5191,3,0.06
219,3,19,3.30000,4.86000,"086","089",5059,2,0.04
220,3,20,3.29000,4.86000,"089","092",5111,0,0.00
221,3,21,3.29000,4.86000,"092","096",5026,0,0.00
222,3,22,3.30000,4.86000,"096","099",5077,1,0.02
223,3,23,3.29000,4.86000,"099","104",4914,2,0.04
224,3,24,3.29000,4.86000,"104","109",5001,3,0.06
225,3,25,3.29000,4.86000,"109","114",5022,1,0.02
226,3,26,3.30000,4.86000,"114","120",4819,6,0.12
227,3,27,3.29000,4.86000,"120","126",4662,4,0.09
228,3,28,3.29000,4.86000,"126","131",4659,2,0.04
229,3,29,3.30000,4.86000,"131","137",4579,4,0.09
230,3,30,3.29000,4.86000,"137","143",4527,10,0.22
231,3,31,3.30000,4.86000,"143","148",4689,3,0.06
232,3,32,3.29000,4.86000,"148","154",4583,6,0.13
233,3,33,3.30000,4.86000,"154","159",4625,6,0.13
234,3,34,3.29000,4.86000,"159","165",4352,2,0.05
235,3,35,3.30000,4.86000,"165","171",4344,4,0.09
236,3,36,3.29000,4.86000,"171","176",4528,2,0.04
237,3,37,3.29000,4.86000,"176","182",4316,4,0.09
238,3,38,3.30000,4.86000,"182","188",4384,5,0.11
239,3,39,3.29000,4.86000,"188","194",4406,2,0.05
240,3,40,3.29000,4.86000,"194","200",4388,5,0.11
241,3,41,3.29000,4.86000,"200","206",4331,4,0.09
242,3,42,3.29000,4.86000,"206","212",4172,6,0.14
243,3,43,3.29000,4.86000,"212","217",4281,8,0.19
244,3,44,3.30000,4.86000,"217","223",4203,4,0.10
245,3,45,3.29000,4.86000,"223","230",4065,6,0.15
246,3,46,3.29000,4.86000,"230","236",4210,4,0.10
247,3,47,3.29000,4.86000,"236","242",4218,7,0.17
248,3,48,3.29000,4.86000,"242","249",4133,7,0.17
249,3,49,3.29000,4.86000,"249","255",4096,3,0.07
250,3,50,3.30000,4.86000,"255","261",4131,7,0.17
251,3,51,3.29000,4.86000,"261","267",4058,6,0.15
252,3,52,3.30000,4.86000,"267","273",3971,10,0.25
253,3,53,3.29000,4.86000,"274","280",4055,1,0.02
254,3,54,3.29000,4.86000,"280","287",3989,6,0.15
255,3,55,3.30000,4.86000,"287","294",4017,3,0.07
256,3,56,3.29000,4.86000,"294","301",3882,7,0.18
257,3,57,3.29000,4.86000,"301","307",3855,4,0.10
258,3,58,3.29000,4.86000,"307","314",3861,3,0.08
259,3,59,3.29000,4.86000,"314","321",3933,4,0.10
260,3,60,3.29000,4.86000,"321","328",3822,1,0.03
261,3,61,3.29000,4.86000,"328","336",3733,7,0.19
262,3,62,3.29000,4.86000,"336","343",3849,5,0.13
263,3,63,3.30000,4.86000,"344","351",3759,13,0.35
264,3,64,3.29000,4.86000,"351","358",3642,7,0.19
265,3,65,3.30000,4.86000,"358","366",3768,11,0.29
266,3,66,3.29000,4.86000,"366","374",3711,9,0.24
267,3,67,3.30000,4.86000,"374","382",3473,11,0.32
268,3,68,3.29000,4.86000,"382","390",3628,8,0.22
269,3,69,3.29000,4.86000,"390","399",3582,7,0.20
270,3,70,3.30000,4.86000,"400","408",3445,8,0.23
271,3,71,3.29000,4.86000,"408","417",3568,11,0.31
272,3,72,3.30000,4.86000,"418","427",3428,10,0.29
273,3,73,3.29000,4.86000,"427","437",3334,11,0.33
274,3,74,3.29000,4.86000,"438","448",3234,11,0.34
275,3,75,3.30000,4.86000,"448","459",3236,8,0.25
276,3,76,3.30000,4.86000,"459","469",2963,7,0.24
277,3,77,3.29000,4.86000,"470","481",3049,6,0.20
278,3,78,3.30000,4.86000,"482","493",2841,11,0.39
279,3,79,3.29000,4.86000,"494","507",2984,12,0.40
280,3,80,3.29000,4.86000,"507","521",2659,11,0.41
281,3,81,3.30000,4.86000,"522","537",2667,8,0.30
282,3,82,3.30000,4.86000,"537","551",2590,8,0.31
283,3,83,3.30000,4.86000,"552","563",2435,10,0.41
284,3,84,3.29000,4.86000,"564","576",2240,16,0.71
285,3,85,3.30000,4.86000,"576","589",2263,7,0.31
286,3,86,3.30000,4.86000,"590","604",2039,13,0.64
287,3,87,3.30000,4.86000,"604","619",2104,7,0.33
288,3,88,3.29000,4.86000,"619","635",1932,7,0.36
289,3,89,3.30000,4.86000,"635","651",1809,4,0.22
290,3,90,3.30000,4.86000,"652","664",1716,12,0.70
291,3,91,3.30000,4.86000,"664","679",1730,6,0.35
292,3,92,3.29000,4.86000,"680","695",1483,5,0.34
293,3,93,3.29000,4.86000,"696","713",1528,9,0.59
294,3,94,3.30000,4.86000,"714","733",1505,13,0.86
295,3,95,3.30000,4.86000,"734","753",1460,12,0.82
296,3,96,3.30000,4.86000,"754","769",1470,7,0.48
297,3,97,3.29000,4.86000,"770","789",1389,11,0.79
298,3,98,3.29000,4.86000,"790","811",1487,13,0.87
299,3,99,3.30000,4.86000,"811","838",1507,12,0.80
300,3,100,3.30000,4.86000,"838","998",1328,9,0.68
301,4,1,4.87000,4.90000,"003","019",7197,3,0.04
302,4,2,4.86000,4.90000,"019","026",7774,3,0.04
303,4,3,4.86000,4.90000,"026","032",6919,5,0.07
304,4,4,4.86000,4.90000,"032","037",6178,1,0.02
305,4,5,4.86000,4.90000,"037","041",5552,5,0.09
306,4,6,4.86000,4.90000,"041","045",5045,6,0.12
307,4,7,4.86000,4.90000,"045","048",4661,2,0.04
308,4,8,4.86000,4.90000,"048","051",4316,0,0.00
309,4,9,4.86000,4.90000,"051","055",4287,2,0.05
310,4,10,4.86000,4.90000,"055","059",4121,5,0.12
311,4,11,4.86000,4.90000,"059","063",3933,1,0.03
312,4,12,4.86000,4.90000,"063","066",4010,1,0.02
313,4,13,4.86000,4.90000,"066","070",3825,3,0.08
314,4,14,4.86000,4.90000,"070","073",3865,4,0.10
315,4,15,4.86000,4.90000,"073","076",3838,3,0.08
316,4,16,4.86000,4.90000,"076","079",3674,5,0.14
317,4,17,4.86000,4.90000,"079","083",3766,3,0.08
318,4,18,4.86000,4.90000,"083","086",3797,5,0.13
319,4,19,4.86000,4.90000,"086","089",3762,4,0.11
320,4,20,4.86000,4.90000,"089","092",3711,5,0.13
321,4,21,4.86000,4.90000,"092","096",3651,6,0.16
322,4,22,4.86000,4.90000,"096","099",3780,1,0.03
323,4,23,4.86000,4.90000,"099","104",3674,3,0.08
324,4,24,4.86000,4.90000,"104","109",3679,4,0.11
325,4,25,4.86000,4.90000,"109","114",3812,5,0.13
326,4,26,4.86000,4.90000,"114","120",3689,2,0.05
327,4,27,4.86000,4.90000,"120","126",3737,2,0.05
328,4,28,4.86000,4.90000,"126","131",3738,1,0.03
329,4,29,4.86000,4.90000,"131","137",3839,2,0.05
330,4,30,4.86000,4.90000,"137","143",3833,2,0.05
331,4,31,4.86000,4.90000,"143","148",3872,5,0.13
332,4,32,4.86000,4.90000,"148","154",3865,3,0.08
333,4,33,4.87000,4.90000,"154","159",3940,3,0.08
334,4,34,4.86000,4.90000,"159","165",3956,6,0.15
335,4,35,4.86000,4.90000,"165","171",4045,6,0.15
336,4,36,4.86000,4.90000,"171","176",4051,7,0.17
337,4,37,4.86000,4.90000,"176","182",4141,1,0.02
338,4,38,4.86000,4.90000,"182","188",4159,5,0.12
339,4,39,4.86000,4.90000,"188","194",4327,5,0.12
340,4,40,4.86000,4.90000,"194","200",4416,7,0.16
341,4,41,4.87000,4.90000,"200","206",4323,6,0.14
342,4,42,4.87000,4.90000,"206","212",4433,7,0.16
343,4,43,4.86000,4.90000,"212","217",4492,5,0.11
344,4,44,4.87000,4.90000,"217","223",4446,5,0.11
345,4,45,4.86000,4.90000,"223","230",4556,8,0.18
346,4,46,4.86000,4.90000,"230","236",4659,5,0.11
347,4,47,4.87000,4.90000,"236","242",4557,8,0.18
348,4,48,4.86000,4.90000,"242","249",4467,4,0.09
349,4,49,4.87000,4.90000,"249","255",4670,3,0.06
350,4,50,4.86000,4.90000,"255","261",4681,10,0.21
351,4,51,4.87000,4.90000,"261","267",4652,5,0.11
352,4,52,4.86000,4.90000,"267","273",4572,10,0.22
353,4,53,4.87000,4.90000,"274","280",4682,8,0.17
354,4,54,4.86000,4.90000,"280","287",4644,13,0.28
355,4,55,4.86000,4.90000,"287","294",4737,8,0.17
356,4,56,4.86000,4.90000,"294","301",4766,4,0.08
357,4,57,4.87000,4.90000,"301","307",4625,10,0.22
358,4,58,4.86000,4.90000,"307","314",4494,10,0.22
359,4,59,4.87000,4.90000,"314","321",4570,11,0.24
360,4,60,4.87000,4.90000,"321","328",4346,7,0.16
361,4,61,4.86000,4.90000,"328","336",4312,9,0.21
362,4,62,4.86000,4.90000,"336","343",4380,10,0.23
363,4,63,4.86000,4.90000,"344","351",4269,6,0.14
364,4,64,4.86000,4.90000,"351","358",4326,15,0.35
365,4,65,4.86000,4.90000,"358","366",4097,9,0.22
366,4,66,4.86000,4.90000,"366","374",3952,10,0.25
367,4,67,4.87000,4.90000,"374","382",3757,9,0.24
368,4,68,4.86000,4.90000,"382","390",3947,11,0.28
369,4,69,4.86000,4.90000,"390","399",3938,11,0.28
370,4,70,4.86000,4.90000,"400","408",3605,4,0.11
371,4,71,4.86000,4.90000,"408","417",3705,15,0.40
372,4,72,4.86000,4.90000,"418","427",3499,9,0.26
373,4,73,4.87000,4.90000,"427","437",3336,14,0.42
374,4,74,4.87000,4.90000,"438","448",3214,7,0.22
375,4,75,4.87000,4.90000,"448","459",3193,13,0.41
376,4,76,4.87000,4.90000,"459","469",2860,4,0.14
377,4,77,4.86000,4.90000,"470","481",3067,11,0.36
378,4,78,4.87000,4.90000,"482","493",2747,8,0.29
379,4,79,4.86000,4.90000,"494","507",2879,10,0.35
380,4,80,4.87000,4.90000,"507","521",2515,9,0.36
381,4,81,4.87000,4.90000,"522","537",2333,10,0.43
382,4,82,4.86000,4.90000,"537","551",2180,7,0.32
383,4,83,4.87000,4.90000,"552","563",2166,4,0.18
384,4,84,4.87000,4.90000,"564","576",1910,5,0.26
385,4,85,4.87000,4.90000,"576","589",1945,2,0.10
386,4,86,4.87000,4.90000,"590","604",1687,12,0.71
387,4,87,4.87000,4.90000,"604","619",1689,3,0.18
388,4,88,4.87000,4.90000,"619","635",1512,6,0.40
389,4,89,4.87000,4.90000,"635","651",1366,8,0.59
390,4,90,4.87000,4.90000,"652","664",1233,5,0.41
391,4,91,4.87000,4.90000,"664","679",1254,10,0.80
392,4,92,4.87000,4.90000,"680","695",1146,2,0.17
393,4,93,4.87000,4.90000,"696","713",1105,7,0.63
394,4,94,4.87000,4.90000,"714","733",1061,9,0.85
395,4,95,4.87000,4.90000,"734","753",1004,6,0.60
396,4,96,4.87000,4.90000,"754","769",874,3,0.34
397,4,97,4.87000,4.90000,"770","789",867,2,0.23
398,4,98,4.87000,4.90000,"790","811",796,3,0.38
399,4,99,4.87000,4.90000,"811","838",730,5,0.68
400,4,100,4.86000,4.90000,"838","993",523,0,0.00
401,5,1,4.90000,5.00000,"002","019",4595,2,0.04
402,5,2,4.90000,5.00000,"019","026",5348,3,0.06
403,5,3,4.90000,5.00000,"026","032",5398,2,0.04
404,5,4,4.90000,5.00000,"032","037",5198,1,0.02
405,5,5,4.90000,5.00000,"037","041",4875,2,0.04
406,5,6,4.90000,5.00000,"041","045",4805,3,0.06
407,5,7,4.90000,5.00000,"045","048",4522,3,0.07
408,5,8,4.90000,5.00000,"048","051",4559,1,0.02
409,5,9,4.90000,5.00000,"051","055",4275,3,0.07
410,5,10,4.90000,5.00000,"055","059",4488,0,0.00
411,5,11,4.90000,5.00000,"059","063",4476,3,0.07
412,5,12,4.90000,5.00000,"063","066",4373,1,0.02
413,5,13,4.90000,5.00000,"066","070",4467,2,0.04
414,5,14,4.90000,5.00000,"070","073",4365,5,0.11
415,5,15,4.90000,5.00000,"073","076",4374,2,0.05
416,5,16,4.90000,5.00000,"076","079",4164,4,0.10
417,5,17,4.90000,5.00000,"079","083",4303,2,0.05
418,5,18,4.90000,5.00000,"083","086",4219,4,0.09
419,5,19,4.90000,5.00000,"086","089",4107,3,0.07
420,5,20,4.90000,5.00000,"089","092",4259,2,0.05
421,5,21,4.90000,5.00000,"092","096",4216,6,0.14
422,5,22,4.90000,5.00000,"096","099",4201,1,0.02
423,5,23,4.90000,5.00000,"099","104",4275,6,0.14
424,5,24,4.90000,5.00000,"104","109",4193,5,0.12
425,5,25,4.90000,5.00000,"109","114",4238,7,0.17
426,5,26,4.90000,5.00000,"114","120",4234,3,0.07
427,5,27,4.90000,5.00000,"120","126",4133,4,0.10
428,5,28,4.90000,5.00000,"126","131",4261,4,0.09
429,5,29,4.90000,5.00000,"131","137",4176,7,0.17
430,5,30,4.90000,5.00000,"137","143",4200,3,0.07
431,5,31,4.90000,5.00000,"143","148",4074,2,0.05
432,5,32,4.90000,5.00000,"148","154",4159,3,0.07
433,5,33,4.90000,5.00000,"154","159",4357,3,0.07
434,5,34,4.90000,5.00000,"159","165",4291,3,0.07
435,5,35,4.90000,5.00000,"165","171",4115,5,0.12
436,5,36,4.90000,5.00000,"171","176",4408,4,0.09
437,5,37,4.90000,5.00000,"176","182",4248,4,0.09
438,5,38,4.90000,5.00000,"182","188",4227,6,0.14
439,5,39,4.90000,5.00000,"188","194",4263,4,0.09
440,5,40,4.90000,5.00000,"194","200",4302,5,0.12
441,5,41,4.90000,5.00000,"200","206",4349,3,0.07
442,5,42,4.90000,5.00000,"206","212",4316,6,0.14
443,5,43,4.90000,5.00000,"212","217",4208,11,0.26
444,5,44,4.90000,5.00000,"217","223",4310,8,0.19
445,5,45,4.90000,5.00000,"223","230",4212,7,0.17
446,5,46,4.90000,5.00000,"230","236",4471,12,0.27
447,5,47,4.90000,5.00000,"236","242",4383,10,0.23
448,5,48,4.90000,5.00000,"242","249",4401,7,0.16
449,5,49,4.90000,5.00000,"249","255",4211,6,0.14
450,5,50,4.90000,5.00000,"255","261",4350,7,0.16
451,5,51,4.90000,5.00000,"261","267",4336,11,0.25
452,5,52,4.90000,5.00000,"267","273",4382,7,0.16
453,5,53,4.90000,5.00000,"274","280",4303,13,0.30
454,5,54,4.90000,5.00000,"280","287",4426,11,0.25
455,5,55,4.90000,5.00000,"287","294",4257,12,0.28
456,5,56,4.90000,5.00000,"294","301",4209,11,0.26
457,5,57,4.90000,5.00000,"301","307",4219,10,0.24
458,5,58,4.90000,5.00000,"307","314",4061,8,0.20
459,5,59,4.90000,5.00000,"314","321",4146,13,0.31
460,5,60,4.90000,5.00000,"321","328",4152,10,0.24
461,5,61,4.90000,5.00000,"328","336",4000,5,0.13
462,5,62,4.90000,5.00000,"336","343",4170,17,0.41
